City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,South Lake Tahoe,38.9332,-119.9844,80.8,23,0,10.36,US,2022-06-11 18:24:55
187,San Juan Del Sur,11.2529,-85.8705,84.42,74,75,4.61,NI,2022-06-11 18:24:55
188,Kabalo,-6.05,26.9167,80.28,48,92,3.51,CD,2022-06-11 18:24:55
189,Rybinsk,58.0446,38.8426,56.53,77,5,5.12,RU,2022-06-11 18:24:56
190,Nyagan,62.1406,65.3936,55.18,89,87,3.74,RU,2022-06-11 18:24:56
191,Rawson,-43.3002,-65.1023,59.13,37,67,9.89,AR,2022-06-11 18:24:56
192,Labytnangi,66.6572,66.4183,60.96,70,25,8.43,RU,2022-06-11 18:24:57
193,Padang,-0.9492,100.3543,71.65,96,100,1.86,ID,2022-06-11 18:24:57
194,Bambous Virieux,-20.3428,57.7575,73.65,73,75,10.36,MU,2022-06-11 18:24:57
195,Lipin Bor,60.2622,37.9763,54.27,65,0,5.3,RU,2022-06-11 18:20:18
196,Nome,64.5011,-165.4064,46.17,49,0,8.05,US,2022-06-11 18:20:16
197,Yekaterinogradskaya,43.7635,44.2317,68.5,43,69,9.75,RU,2022-06-11 18:24:58
198,Sambava,-14.2667,50.1667,72.48,80,17,15.03,MG,2022-06-11 18:24:58
199,Mahajanga,-15.7167,46.3167,73.42,88,20,2.3,MG,2022-06-11 18:24:58
200,Hokitika,-42.7167,170.9667,48.47,86,97,12.91,NZ,2022-06-11 18:24:59
201,Huron,41.1501,-82.5499,77.74,60,29,10.16,US,2022-06-11 18:24:59
202,Irpa Irpa,-17.7167,-66.2667,71.6,21,0,4.54,BO,2022-06-11 18:24:59
203,Ruwi,23.5996,58.5507,91.09,63,0,3.6,OM,2022-06-11 18:25:00
204,Storforshei,66.4043,14.5233,53.38,76,75,4.61,NO,2022-06-11 18:25:00
205,Saint-Philippe,-21.3585,55.7679,67.59,79,67,12.71,RE,2022-06-11 18:23:11
206,Clyde River,70.4692,-68.5914,34.03,86,100,14.97,CA,2022-06-11 18:25:01
207,Juneau,58.3019,-134.4197,52.21,90,75,5.75,US,2022-06-11 18:25:01
208,Praia,14.9215,-23.5087,81.14,65,0,2.3,CV,2022-06-11 18:21:18
209,Augustow,53.8432,22.9798,62.17,80,16,5.14,PL,2022-06-11 18:25:02
210,Grand-Santi,4.25,-54.3833,85.64,61,95,4.21,GF,2022-06-11 18:25:02
211,Bowen,-20.0167,148.2333,54.93,70,71,7.18,AU,2022-06-11 18:25:03
212,Arlit,18.7369,7.3853,91.67,26,95,4.5,NE,2022-06-11 18:25:03
213,Kachug,53.9606,105.8817,52.5,63,8,1.83,RU,2022-06-11 18:25:03
214,Kamskiye Polyany,55.4307,51.4171,58.01,86,53,8.14,RU,2022-06-11 18:25:04
215,Ilulissat,69.2167,-51.1,37.42,70,20,8.05,GL,2022-06-11 18:25:04
216,Kodiak,57.79,-152.4072,53.11,82,100,8.05,US,2022-06-11 18:20:43
217,Marrakesh,31.6315,-8.0083,91.47,40,75,9.22,MA,2022-06-11 18:25:05
218,Baft,29.234,56.6057,74.23,20,77,8.19,IR,2022-06-11 18:25:05
219,Burgeo,47.6167,-57.6152,55.62,83,93,10.51,CA,2022-06-11 18:25:05
