City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
173,Kisangani,CD,72.52,light rain,0.5167,25.2,Tateyama Seaside Hotel
176,Vila Franca Do Campo,PT,70.2,clear sky,37.7167,-25.4333,Tateyama Seaside Hotel
182,Katobu,ID,73.35,broken clouds,-4.9408,122.5276,Tateyama Seaside Hotel
184,Ranong,TH,78.76,overcast clouds,9.9658,98.6348,Tateyama Seaside Hotel
186,Asfi,MA,70.48,clear sky,32.2994,-9.2372,Tateyama Seaside Hotel
187,Butaritari,KI,81.7,light rain,3.0707,172.7902,Tateyama Seaside Hotel
188,Saint-Honore,CA,76.3,few clouds,48.5334,-71.0824,Tateyama Seaside Hotel
189,Matara,LK,79.27,overcast clouds,5.9485,80.5353,Tateyama Seaside Hotel
191,Loa Janan,ID,72.19,broken clouds,-0.583,117.095,Tateyama Seaside Hotel
194,Dingle,PH,76.82,overcast clouds,10.9995,122.6711,Tateyama Seaside Hotel
197,Kamenka,RU,64.26,scattered clouds,51.3223,42.7678,Tateyama Seaside Hotel
199,Bardiyah,LY,78.69,clear sky,31.7561,25.0865,Tateyama Seaside Hotel
200,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Tateyama Seaside Hotel
202,Mao,ES,79.36,few clouds,39.8885,4.2658,Tateyama Seaside Hotel
203,Mardin,TR,74.46,clear sky,37.3131,40.7436,Tateyama Seaside Hotel
204,Lanzhou,CN,67.69,overcast clouds,36.0564,103.7922,Tateyama Seaside Hotel
207,Huadian,CN,62.13,broken clouds,42.9633,126.7478,Tateyama Seaside Hotel
208,Chajul,GT,73.44,overcast clouds,15.4853,-91.0342,Tateyama Seaside Hotel
209,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Tateyama Seaside Hotel
210,Rapid Valley,US,72.32,clear sky,44.0625,-103.1463,Tateyama Seaside Hotel
211,Masalli,KR,76.68,overcast clouds,34.7959,126.6553,Tateyama Seaside Hotel
213,Peno,RU,67.91,clear sky,56.9262,32.7426,Tateyama Seaside Hotel
217,Luderitz,,66.24,clear sky,-26.6481,15.1594,Tateyama Seaside Hotel
221,Zarinsk,RU,65.46,moderate rain,53.7074,84.9493,Tateyama Seaside Hotel
223,Rio Negro,BR,64.62,overcast clouds,-26.1058,-49.7975,Tateyama Seaside Hotel
226,Hasaki,JP,79.2,clear sky,35.7333,140.8333,Tateyama Seaside Hotel
227,Yaan,NG,75.58,overcast clouds,7.3833,8.5667,Tateyama Seaside Hotel
231,Seabra,BR,79.66,scattered clouds,-12.4186,-41.7703,Tateyama Seaside Hotel
234,Ust-Nera,RU,62.73,broken clouds,64.5667,143.2,Tateyama Seaside Hotel
236,Pandan,PH,81.55,overcast clouds,14.0453,124.1694,Tateyama Seaside Hotel
237,Namatanai,PG,79.27,few clouds,-3.6667,152.4333,Tateyama Seaside Hotel
238,Sunggal,ID,75.18,haze,3.5765,98.6151,Tateyama Seaside Hotel
244,Belmonte,BR,77.41,broken clouds,-15.8631,-38.8828,Tateyama Seaside Hotel
246,Namibe,AO,64.44,clear sky,-15.1961,12.1522,Tateyama Seaside Hotel
247,Maningrida,AU,66.92,clear sky,-12.0667,134.2667,Tateyama Seaside Hotel
249,Lekoni,GA,80.96,overcast clouds,-1.5843,14.2591,Tateyama Seaside Hotel
255,Liepaja,LV,75.18,clear sky,56.5419,21.0367,Tateyama Seaside Hotel
257,Zhaozhou,CN,63.0,overcast clouds,45.6833,125.3167,Tateyama Seaside Hotel
259,Portobelo,PA,74.77,overcast clouds,9.55,-79.65,Tateyama Seaside Hotel
261,Sola,VU,81.27,broken clouds,-13.8833,167.55,Tateyama Seaside Hotel
262,Maragogi,BR,78.85,few clouds,-9.0122,-35.2225,Tateyama Seaside Hotel
263,Bestobe,KZ,74.43,few clouds,52.4994,73.0975,Tateyama Seaside Hotel
264,Batabano,CU,77.61,scattered clouds,22.7164,-82.2881,Tateyama Seaside Hotel
265,Nezhinka,RU,66.36,clear sky,51.7676,55.3694,Tateyama Seaside Hotel
270,Port Arthur,CN,79.02,overcast clouds,38.8,121.2667,Tateyama Seaside Hotel
271,Faya,SA,66.72,overcast clouds,18.3851,42.4509,Tateyama Seaside Hotel
275,Machico,PT,73.0,few clouds,32.7,-16.7667,Tateyama Seaside Hotel
278,Lata,PT,64.81,clear sky,40.1629,-8.3327,Tateyama Seaside Hotel
280,Nakamura,JP,70.99,light rain,32.9833,132.9333,Tateyama Seaside Hotel
281,Tautira,PF,78.75,scattered clouds,-17.7333,-149.15,Tateyama Seaside Hotel
283,Jijiga,ET,64.94,overcast clouds,9.35,42.8,Tateyama Seaside Hotel
284,Abancay,PE,69.98,overcast clouds,-13.6339,-72.8814,Tateyama Seaside Hotel
285,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Tateyama Seaside Hotel
287,Tuy Hoa,VN,77.11,few clouds,13.0833,109.3,Tateyama Seaside Hotel
288,Ban Phai,TH,77.22,overcast clouds,16.06,102.731,Tateyama Seaside Hotel
289,Nouadhibou,MR,73.38,sand,20.931,-17.0347,Tateyama Seaside Hotel
290,Xucheng,CN,80.67,few clouds,20.35,110.1288,Tateyama Seaside Hotel
291,Santo Amaro Da Imperatriz,BR,68.65,overcast clouds,-27.6881,-48.7786,Tateyama Seaside Hotel
